car_reg,purchase_date,county,make,model,type,colour,tax_band,price
XXX-X-1106,2020-07-13,Waterford,Mazda : Mazda6 (Saloon),,,blue,b,42348
191-d-1085,19 Jan,DUBLIN,Ford : Kuga,,SUV,RED,2,33144
XXX-X-3140,2018-10-05,Limerick,Audi : A4 (Saloon),,,blue,b,43244
192-G-995,2019-Nov-12,,Opel,Crossland X,SUV,Blue,A,26666
201-D-1259,2020-Mar-25,Dublin,mazda,cx-30 : suv,,<colour>Blue</colour>,B,37432
192-d-621,10 Aug,DUBLIN,Ford : Focus,,Estate,SILVER,1,35827
191-L-2582,2019-Feb-10,,Mercedes,C-Class,Saloon,Red,B,103550
XXX-X-3782,2019-07-02,Dublin,Toyota : Rav4 (SUV),,,red,b,45250
XXX-X-4027,2020-02-11,Dublin,Mercedes : GLC-Class (SUV),,,red,c,48286
191-D-3693,2019-Jan-01,Dublin,opel,corsa : hatchback,,<colour>Red</colour>,A,20419
191-L-2717,2019-May-24,,Audi,Q3,SUV,Blue,B,49636
181-G-4670,2018-May-23,,Mazda,CX-30,SUV,Orange,B,40959
XXX-X-694,2020-03-11,Cork,Opel : Astra (Estate),,,white,b,26991
181-G-563,2018-Mar-23,,Opel,Grandland X,SUV,Red,B,28743
201-L-2524,2020-Jan-25,,Ford,Kuga,SUV,Red,B,42193
182-d-1962,18 Jul,DUBLIN,Audi : A4,,Estate,BLUE,2,45774
XXX-X-374,2018-01-21,Cork,Mercedes : A-Class (Hatchback),,,white,b,60882
192-G-4558,2019-Jul-26,,Mazda,CX-5,SUV,White,B,39209
201-l-4633,16 Jan,LIMERICK,Toyota : Camery,,Saloon,RED,2,40302
XXX-X-4294,2018-07-03,Limerick,BMW : 3 Series (Estate),,,white,b,59365
191-w-414,03 Feb,WATERFORD,Audi : A6,,Saloon,ORANGE,3,68630
XXX-X-3194,2019-07-12,Dublin,Opel : Astra (Estate),,,blue,b,25198
191-D-2697,2019-Jan-08,,Mazda,Mazda6,Estate,Blue,B,40658
201-d-2370,04 Jan,DUBLIN,Ford : Mondeo,,Hatchback,BLUE,2,36326
XXX-X-4585,2020-01-03,Galway,Ford : Focus (Hatchback),,,blue,a,38374
181-L-3843,2018-May-14,Limerick,audi,q3 : suv,,<colour>Red</colour>,B,50891
XXX-X-4142,2020-02-09,Waterford,Toyota : Yaris (Hatchback),,,white,a,19538
XXX-X-4711,2018-02-05,Dublin,Opel : Astra (Hatchback),,,red,a,30196
201-W-4720,2020-Jan-17,,Mercedes,C-Class,Saloon,Silver,B,77586
192-w-45,03 Jul,WATERFORD,Mercedes : C-Class,,Saloon,SILVER,2,52486
181-D-11,2018-Jan-15,Dublin,bmw,5 series : estate,,<colour>White</colour>,C,70540
201-W-859,2020-Jan-13,,ford,FOCUS,Hatchback,#0000FF,A,29192
202-w-3196,03 Jul,WATERFORD,Toyota : Rav4,,SUV,BLUE,2,42210
202-L-2988,2020-Jul-14,,Opel,Insignia,Hatchback,White,B,31376
192-g-1758,01 Jul,GALWAY,Opel : Astra,,Hatchback,RED,1,28129
201-C-3949,2020-Jan-24,,BMW,X3,SUV,Blue,C,109055
XXX-X-1183,2019-03-07,Dublin,Mazda : Mazda3 (Hatchback),,,silver,b,34096
182-D-1589,2018-Nov-12,,BMW,5 Series,Estate,Blue,C,62269
XXX-X-3043,2020-08-13,Dublin,Toyota : Corolla (Hatchback),,,blue,b,27998
XXX-X-1290,2020-07-15,Dublin,Toyota : Yaris (Hatchback),,,red,a,15659
XXX-X-1489,2020-03-09,Cork,BMW : 5 Series (Estate),,,white,c,71193
201-d-2002,12 Feb,DUBLIN,Ford : Focus,,Hatchback,BLUE,1,23760
201-W-515,2020-Mar-26,Waterford,ford,focus : hatchback,,<colour>Silver</colour>,A,31646
182-c-3182,09 Jul,CORK,Toyota : Corolla,,Saloon,BLUE,2,28369
XXX-X-2240,2019-07-01,Dublin,Mercedes : A-Class (Hatchback),,,white,b,53351
181-c-2628,15 Jan,CORK,Audi : Q3,,SUV,WHITE,2,48390
202-d-2381,26 Jul,DUBLIN,Ford : Mondeo,,Hatchback,WHITE,2,36671
181-G-3683,2018-Jan-23,,Mazda,Mazda3,Saloon,Blue,B,34280
202-D-1090,2020-Sep-21,Dublin,audi,a4 : saloon,,<colour>White</colour>,B,52762
191-D-2861,2019-Jan-22,,bmw,3 SERIES,Hatchback,#0000FF,C,61565
191-L-1565,2019-Jan-03,,Audi,Q3,SUV,White,B,51111
XXX-X-1226,2018-07-07,Dublin,Toyota : Corolla (Hatchback),,,orange,b,28990
XXX-X-2681,2019-02-08,Dublin,Opel : Crossland X (SUV),,,blue,a,27382
191-d-2099,13 Apr,DUBLIN,Ford : Focus,,Hatchback,SILVER,1,30066
191-w-1851,13 Feb,WATERFORD,Mazda : CX-5,,SUV,BLUE,2,50052
181-C-1284,2018-Jan-15,Cork,bmw,5 series : estate,,<colour>Blue</colour>,C,62324
XXX-X-185,2020-01-27,Dublin,Opel : Astra (Hatchback),,,silver,a,30170
202-L-1324,2020-Jul-01,,bmw,2 SERIES,Coupe,#0000FF,B,115717
191-L-4337,2019-Jan-06,Limerick,mercedes,a-class : hatchback,,<colour>White</colour>,B,48479
XXX-X-4693,2020-01-10,Dublin,Toyota : Yaris (Hatchback),,,blue,a,18249
XXX-X-2826,2020-07-11,Cork,Opel : Insignia (Hatchback),,,silver,b,28478
192-D-51,2019-Jul-14,Dublin,ford,kuga : suv,,<colour>Red</colour>,B,38453
182-g-3671,02 Jul,GALWAY,Opel : Grandland X,,SUV,BLUE,2,35862
XXX-X-3718,2020-02-21,Cork,Mercedes : C-Class (Saloon),,,white,b,72641
201-D-2060,2020-Feb-21,,Mazda,Mazda3,Saloon,Red,B,33343
181-G-4977,2018-Feb-05,,toyota,RAV4,SUV,#FFFFFF,B,37389
201-c-3163,19 Jan,CORK,Mazda : CX-5,,SUV,SILVER,2,40723
201-L-4811,2020-Apr-03,,bmw,X3,SUV,#FFFFFF,C,98259
202-C-944,2020-Jul-27,,BMW,3 Series,Saloon,Red,B,62368
191-l-1200,25 Jan,LIMERICK,Toyota : Rav4,,SUV,SILVER,2,41992
182-g-4658,22 Oct,GALWAY,Toyota : Camery,,Saloon,WHITE,2,39730
192-g-987,02 Jul,GALWAY,BMW : 3 Series,,Hatchback,BLUE,3,57832
181-C-4777,2018-Jan-20,,Ford,Focus,Hatchback,Blue,A,31290
181-D-195,2018-Jan-24,,Opel,Grandland X,SUV,Orange,B,38851
192-D-3734,2019-Jul-18,,Toyota,Rav4,SUV,Blue,B,46208
191-D-3967,2019-Feb-16,Dublin,mercedes,c-class : estate,,<colour>White</colour>,B,53714
XXX-X-4460,2019-02-17,Cork,Audi : A4 (Estate),,,blue,b,42413
XXX-X-48,2020-07-05,Dublin,Toyota : Corolla (Saloon),,,orange,b,29083
202-D-4429,2020-Jul-06,,ford,KUGA,SUV,#FFFFFF,B,44261
201-D-4269,2020-Feb-02,,Mazda,CX-5,SUV,White,B,49355
201-d-3458,12 Mar,DUBLIN,Mercedes : C-Class,,Saloon,BLUE,2,103507
201-D-3069,2020-Mar-06,,opel,CROSSLAND X,SUV,#0000FF,A,25586
202-d-4913,23 Jul,DUBLIN,BMW : 3 Series,,Saloon,WHITE,2,40969
202-g-4151,22 Jul,GALWAY,Toyota : Corolla,,Saloon,BLUE,2,28000
201-D-2518,2020-Jan-27,,opel,CORSA,Hatchback,#C0C0C0,A,18346
XXX-X-4289,2018-01-24,Galway,Mercedes : AMG-GT (Hatchback),,,red,d,198829
181-d-1502,20 Feb,DUBLIN,Toyota : Corolla,,Hatchback,WHITE,2,27354
182-L-4818,2018-Aug-12,,Ford,Focus,Estate,Red,A,45087
191-D-3440,2019-Jan-03,Dublin,audi,a4 : saloon,,<colour>Blue</colour>,B,47268
201-W-2770,2020-Feb-08,,Mazda,Mazda6,Saloon,White,B,38737
XXX-X-1570,2019-11-19,Cork,Opel : Crossland X (SUV),,,red,a,24347
XXX-X-92,2019-03-25,Galway,Mazda : CX-30 (SUV),,,white,b,34435
181-L-866,2018-Jan-07,,audi,Q3,SUV,#FFFFFF,B,44471
201-C-4344,2020-Jan-01,,toyota,COROLLA,Saloon,#FFA500,B,30006
181-w-2064,25 Mar,WATERFORD,Mercedes : AMG-GT,,Hatchback,SILVER,4,184733
XXX-X-4055,2019-05-16,Cork,BMW : 5 Series (Estate),,,orange,c,81472
182-d-1146,13 Jul,DUBLIN,Opel : Grandland X,,SUV,WHITE,2,52600
XXX-X-790,2019-04-26,Cork,Mazda : Mazda6 (Saloon),,,blue,b,46916
201-C-4952,2020-Mar-01,Cork,mercedes,a-class : hatchback,,<colour>Blue</colour>,B,37979
181-W-3529,2018-Jan-19,,Audi,A4,Saloon,Red,B,48937
201-G-2454,2020-Feb-22,,Toyota,Rav4,SUV,White,B,38763
181-c-4657,15 Jan,CORK,Toyota : Corolla,,Hatchback,SILVER,2,33388
XXX-X-4846,2018-01-22,Dublin,Mercedes : A-Class (Hatchback),,,silver,b,58313
201-W-2234,2020-Jan-17,,Audi,Q7,SUV,White,D,91195
191-d-3206,21 Mar,DUBLIN,Opel : Insignia,,Hatchback,RED,2,29660
202-D-2051,2020-Jul-10,,bmw,5 SERIES,Estate,#FFFFFF,C,70425
XXX-X-4317,2019-07-24,Dublin,BMW : X3 (SUV),,,red,c,96052
201-L-245,2020-Jan-25,,Opel,Astra,Hatchback,Red,A,25396
XXX-X-2272,2018-01-20,Limerick,Ford : Mustang (Coupe),,,white,c,64838
181-L-3915,2018-Jan-23,Limerick,toyota,corolla : hatchback,,<colour>Red</colour>,B,30910
XXX-X-4186,2020-01-15,Dublin,Mercedes : A-Class (Saloon),,,red,b,35761
201-W-2151,2020-Mar-27,,Audi,Q7,SUV,Blue,D,113294
181-D-845,2018-Jan-18,,opel,ASTRA,Hatchback,#FFFFFF,A,24745
XXX-X-2303,2018-07-04,Waterford,Ford : Fiesta (Hatchback),,,white,a,19504
202-D-3181,2020-Jul-07,,Audi,A4,Estate,Blue,B,49015
202-c-2709,10 Jul,CORK,Mercedes : C-Class,,Saloon,BLUE,2,92528
181-D-1612,2018-Jan-15,,BMW,3 Series,Saloon,Red,B,69597
XXX-X-610,2018-02-19,Dublin,Mazda : CX-5 (SUV),,,blue,b,51930
191-C-3917,2019-Feb-17,,Mercedes,GLC-Class,SUV,White,C,61116
201-L-4589,2020-Jan-24,,ford,MONDEO,Hatchback,#C0C0C0,B,31826
191-g-4113,08 Jan,GALWAY,Toyota : Corolla,,Saloon,WHITE,2,29895
201-c-2126,08 Jan,CORK,Opel : Astra,,Hatchback,BLUE,1,27268
182-G-2442,2018-Sep-11,Galway,audi,a4 : saloon,,<colour>Silver</colour>,B,51133
201-d-635,15 Jan,DUBLIN,Mazda : CX-5,,SUV,SILVER,2,49529
181-l-3860,14 Feb,LIMERICK,Audi : A4,,Estate,SILVER,2,41141
201-D-3658,2020-Mar-14,Dublin,toyota,corolla : hatchback,,<colour>White</colour>,B,29721
191-d-1526,10 Jan,DUBLIN,Mazda : Mazda3,,Saloon,RED,2,34788
191-D-3562,2019-Jan-05,,ford,FIESTA,Hatchback,#C0C0C0,A,26409
XXX-X-2813,2018-09-23,Limerick,Opel : Crossland X (SUV),,,white,a,23191
181-d-3066,23 Feb,DUBLIN,Opel : Astra,,Hatchback,WHITE,1,25151
191-L-2737,2019-Feb-10,,Opel,Insignia,Hatchback,Red,B,28528
181-D-3727,2018-Feb-07,,mercedes,C-CLASS,Saloon,#FFFFFF,B,46996
181-G-4797,2018-Mar-15,,Mazda,CX-30,SUV,Silver,B,30605
181-L-1481,2018-Jan-17,,audi,A4,Estate,#FF0000,B,41391
202-l-2948,02 Sep,LIMERICK,Mazda : CX-30,,SUV,RED,2,40521
181-L-89,2018-Jan-14,,Toyota,Rav4,SUV,Red,B,44208
191-D-1664,2019-May-10,Dublin,toyota,camery : saloon,,<colour>Silver</colour>,B,41080
XXX-X-2142,2020-03-19,Galway,Audi : A4 (Estate),,,white,b,50233
191-C-553,2019-Jan-18,,toyota,YARIS,Hatchback,#FFFFFF,A,16540
192-D-1154,2019-Jul-26,,ford,MUSTANG,Coupe,#C0C0C0,C,52554
181-C-4746,2018-Mar-25,Cork,mazda,cx-5 : suv,,<colour>Blue</colour>,B,41407
201-d-3453,06 Jan,DUBLIN,Ford : Kuga,,SUV,WHITE,2,44114
192-G-4072,2019-Sep-02,,Audi,A4,Saloon,White,B,47985
XXX-X-3890,2018-01-18,Limerick,Opel : Corsa (Hatchback),,,silver,a,23962
181-D-2432,2018-Jun-16,,toyota,COROLLA,Saloon,#FFFFFF,B,29438
201-D-1709,2020-Jan-26,Dublin,toyota,corolla : hatchback,,<colour>Red</colour>,B,27961
191-G-3308,2019-Apr-27,Galway,mazda,cx-5 : suv,,<colour>Blue</colour>,B,40990
181-d-79,25 Jan,DUBLIN,Toyota : Corolla,,Saloon,BLUE,2,28243
182-C-1053,2018-Aug-04,Cork,opel,insignia : hatchback,,<colour>Silver</colour>,B,37374
192-D-3607,2019-Jul-23,,Mazda,CX-30,SUV,Blue,B,34485
XXX-X-752,2020-03-22,Dublin,Ford : Focus (Hatchback),,,orange,a,42770
181-l-461,06 Jan,LIMERICK,Opel : Grandland X,,SUV,ORANGE,2,52950
181-D-2082,2018-Jan-22,Dublin,opel,crossland x : suv,,<colour>Red</colour>,A,24065
192-D-2578,2019-Aug-15,,Ford,Mondeo,Hatchback,Blue,B,36448
202-D-4836,2020-Jul-13,,Ford,Fiesta,Hatchback,Orange,A,21900
191-d-869,11 Mar,DUBLIN,Toyota : Yaris,,Hatchback,SILVER,1,17086
192-l-2662,20 Aug,LIMERICK,Mercedes : A-Class,,Hatchback,BLUE,2,47783
XXX-X-1621,2018-03-23,Dublin,Mazda : CX-30 (SUV),,,red,b,37566
181-d-2715,07 Jan,DUBLIN,BMW : 3 Series,,Hatchback,RED,3,52634
201-L-1998,2020-Apr-17,Limerick,audi,q3 : suv,,<colour>Red</colour>,B,46286
181-d-184,14 Mar,DUBLIN,Mercedes : A-Class,,Hatchback,WHITE,2,35096
191-C-1578,2019-May-03,Cork,toyota,corolla : saloon,,<colour>Red</colour>,B,30665
191-d-4575,04 Mar,DUBLIN,Mazda : Mazda3,,Hatchback,WHITE,2,36344
192-l-963,22 Jul,LIMERICK,Mercedes : C-Class,,Estate,BLUE,2,90368
181-L-414,2018-Jan-08,,BMW,2 series,Coupe,White,B,67679
201-D-2124,2020-Jan-03,Dublin,toyota,prius : hatchback,,<colour>Red</colour>,B,36930
XXX-X-2948,2018-02-10,Cork,Opel : Astra (Hatchback),,,white,a,29501
181-c-3297,14 Mar,CORK,Audi : A6,,Estate,RED,3,66913
201-D-3200,2020-Feb-13,,Opel,Astra,Estate,White,B,27192
XXX-X-1306,2020-10-26,Dublin,Ford : Fiesta (Hatchback),,,white,a,26378
XXX-X-3290,2019-01-25,Limerick,Mazda : CX-5 (SUV),,,blue,b,48573
XXX-X-3980,2018-02-19,Dublin,Toyota : Camery (Saloon),,,white,b,42872
181-G-1988,2018-Jan-10,,mazda,MAZDA6,Saloon,#FFFFFF,B,41304
201-c-4291,20 Feb,CORK,Mercedes : A-Class,,Hatchback,SILVER,2,57923
181-D-4441,2018-Apr-02,Dublin,ford,fiesta : hatchback,,<colour>Silver</colour>,A,28898
191-d-2605,24 Feb,DUBLIN,Ford : Focus,,Estate,RED,1,26996
182-C-4692,2018-Jul-03,Cork,mazda,cx-5 : suv,,<colour>Red</colour>,B,40211
202-d-4501,17 Oct,DUBLIN,Audi : A4,,Saloon,ORANGE,2,49176
181-W-4851,2018-Jan-21,,Opel,Crossland X,SUV,White,A,26524
201-c-1286,19 Jan,CORK,Mazda : Mazda6,,Saloon,RED,2,40434
182-g-771,25 Jul,GALWAY,Mazda : Mazda3,,Saloon,SILVER,2,36083
201-c-1276,13 Apr,CORK,Opel : Insignia,,Hatchback,WHITE,2,36943
XXX-X-1335,2018-03-20,Dublin,Mazda : Mazda6 (Saloon),,,blue,b,34825
181-g-4802,13 Feb,GALWAY,BMW : 2 series,,Coupe,WHITE,2,83314
201-d-2790,11 Jun,DUBLIN,Opel : Insignia,,Hatchback,WHITE,2,37793
201-D-1341,2020-Feb-18,,bmw,3 SERIES,Hatchback,#0000FF,C,52791
201-w-303,14 Jan,WATERFORD,Ford : Focus,,Hatchback,SILVER,1,44042
XXX-X-3882,2018-01-13,Limerick,BMW : 2 series (Coupe),,,blue,b,70796
201-c-1059,18 Mar,CORK,Toyota : Corolla,,Hatchback,SILVER,2,29341
XXX-X-4840,2019-02-04,Waterford,Opel : Astra (Estate),,,white,b,25167
181-C-1256,2018-Jan-26,,Mercedes,A-Class,Saloon,Red,B,40111
191-D-2895,2019-Feb-12,Dublin,opel,astra : hatchback,,<colour>Silver</colour>,A,30612
201-D-4118,2020-Feb-03,Dublin,ford,focus : estate,,<colour>Red</colour>,A,36239
XXX-X-540,2020-04-03,Limerick,BMW : 3 Series (Estate),,,blue,b,48929
201-L-2691,2020-May-07,Limerick,opel,crossland x : suv,,<colour>White</colour>,A,27975
XXX-X-1859,2018-05-21,Limerick,Ford : Mondeo (Saloon),,,white,b,35840
181-D-354,2018-Mar-23,,Audi,A4,Estate,White,B,50119
182-L-2016,2018-Jul-18,,ford,MONDEO,Hatchback,#0000FF,B,38033
181-D-4348,2018-Jan-17,,Mazda,Mazda6,Saloon,White,B,34286
XXX-X-4361,2020-01-12,Cork,BMW : 3 Series (Saloon),,,red,b,51347
181-D-419,2018-Jan-11,,BMW,X3,SUV,Blue,C,105821
181-w-3295,24 Mar,WATERFORD,Toyota : Prius,,Hatchback,BLUE,2,36200
181-C-4144,2018-Mar-10,,Ford,Mondeo,Saloon,White,B,35849
181-C-1894,2018-Mar-13,,Opel,Grandland X,SUV,Blue,B,30756
201-g-619,05 May,GALWAY,Mercedes : A-Class,,Saloon,RED,2,61666
202-L-3600,2020-Sep-06,Limerick,mercedes,a-class : hatchback,,<colour>Silver</colour>,B,40016
192-D-3242,2019-Jul-15,,Ford,Focus,Hatchback,White,A,33916
201-W-3697,2020-Jan-05,Waterford,mercedes,c-class : estate,,<colour>White</colour>,B,78682
181-C-1182,2018-Apr-16,Cork,ford,focus : hatchback,,<colour>Red</colour>,A,25058
181-D-4273,2018-Feb-13,,Toyota,Prius,Hatchback,White,B,36202
XXX-X-71,2018-01-25,Galway,Opel : Astra (Estate),,,silver,b,25135
191-l-1722,20 May,LIMERICK,Mazda : Mazda6,,Estate,ORANGE,2,40411
181-D-2576,2018-Mar-21,,opel,ASTRA,Hatchback,#C0C0C0,A,30523
201-D-4253,2020-Feb-18,,Toyota,Rav4,SUV,White,B,46265
XXX-X-2868,2019-07-06,Cork,Mercedes : C-Class (Saloon),,,silver,b,95770
202-l-632,04 Jul,LIMERICK,Mazda : CX-30,,SUV,WHITE,2,42599
191-d-3220,25 May,DUBLIN,Ford : Mondeo,,Saloon,RED,2,36356
191-C-48,2019-Feb-01,Cork,mazda,cx-30 : suv,,<colour>Silver</colour>,B,42968
191-D-2915,2019-Jan-14,,Ford,Mustang,Coupe,Red,C,65993
191-L-4277,2019-Mar-23,,ford,FOCUS,Estate,#C0C0C0,A,24039
XXX-X-4512,2018-07-16,Dublin,Audi : A4 (Estate),,,red,b,40363
191-D-1687,2019-Mar-07,,Mazda,Mazda3,Saloon,White,B,37669
191-d-3159,25 Jan,DUBLIN,Mercedes : GLC-Class,,SUV,WHITE,3,109814
201-C-2895,2020-Jan-27,,Ford,Fiesta,Hatchback,Blue,A,21933
202-D-4762,2020-Jul-12,,Ford,Mondeo,Hatchback,White,B,36222
XXX-X-521,2018-03-09,Dublin,Ford : Mondeo (Saloon),,,white,b,40792
201-D-1137,2020-Jan-02,,Opel,Astra,Hatchback,White,A,28905
201-D-2182,2020-Apr-17,,ford,FOCUS,Hatchback,#FF0000,A,38562
191-W-4333,2019-Feb-06,,Mercedes,C-Class,Saloon,Blue,B,77844
182-d-4661,14 Jul,DUBLIN,Mazda : CX-30,,SUV,BLUE,2,33630
XXX-X-528,2018-01-20,Limerick,Toyota : Rav4 (SUV),,,blue,b,43288
XXX-X-4951,2020-11-06,Dublin,Mercedes : C-Class (Saloon),,,red,b,65242
201-W-193,2020-Mar-02,Waterford,toyota,camery : saloon,,<colour>White</colour>,B,39898
191-D-2663,2019-Mar-18,,Toyota,Camery,Saloon,Red,B,40332
181-D-861,2018-Jan-06,Dublin,mercedes,a-class : saloon,,<colour>Blue</colour>,B,55124
XXX-X-2888,2018-02-02,Limerick,Audi : Q3 (SUV),,,blue,b,44801
XXX-X-946,2019-05-16,Dublin,Mazda : Mazda3 (Hatchback),,,white,b,31018
201-c-2725,22 Mar,CORK,Toyota : Corolla,,Saloon,SILVER,2,31289
201-W-3188,2020-Mar-09,,mercedes,AMG-GT,Hatchback,#FFFFFF,D,163717
191-W-3726,2019-Jan-27,,mazda,MAZDA3,Hatchback,#C0C0C0,B,36617
182-w-979,16 Jul,WATERFORD,Ford : Focus,,Estate,WHITE,1,29554
192-L-229,2019-Nov-01,,Ford,Focus,Hatchback,White,A,27974
201-D-831,2020-Feb-19,Dublin,mazda,mazda3 : saloon,,<colour>White</colour>,B,31581
191-C-4232,2019-Mar-04,Cork,opel,corsa : hatchback,,<colour>White</colour>,A,23565
201-C-4959,2020-Jan-12,,Mazda,Mazda6,Estate,Blue,B,35925
181-D-907,2018-Jan-25,Dublin,opel,grandland x : suv,,<colour>White</colour>,B,49608
191-L-1316,2019-Jan-03,,Ford,Focus,Hatchback,Silver,A,28377
181-D-1038,2018-Mar-12,,mazda,MAZDA6,Saloon,#FF0000,B,36308
XXX-X-947,2020-07-22,Dublin,Opel : Crossland X (SUV),,,white,a,22290
191-G-4311,2019-Jan-09,,Toyota,Corolla,Saloon,White,B,31840
202-l-3949,01 Jul,LIMERICK,Opel : Crossland X,,SUV,SILVER,1,26292
202-C-2899,2020-Jul-01,,BMW,2 series,Coupe,White,B,45520
181-G-4787,2018-Jan-25,,Mazda,Mazda6,Saloon,White,B,43400
191-L-903,2019-Mar-22,,Toyota,Yaris,Hatchback,Orange,A,15195
XXX-X-1641,2020-07-12,Waterford,BMW : 3 Series (Hatchback),,,white,c,60725
191-D-4624,2019-Jan-19,,BMW,2 series,Coupe,Red,B,48913
192-D-377,2019-Jul-24,Dublin,mercedes,a-class : saloon,,<colour>Red</colour>,B,39205
181-d-3975,20 Jan,DUBLIN,Mercedes : A-Class,,Saloon,RED,2,57274
192-L-4152,2019-Jul-01,,Audi,A6,Estate,White,C,67776
202-d-4738,13 Jul,DUBLIN,Opel : Corsa,,Hatchback,WHITE,1,23838
XXX-X-48,2020-01-08,Limerick,Mazda : CX-30 (SUV),,,white,b,40033
191-D-2966,2019-May-10,Dublin,audi,a6 : saloon,,<colour>Red</colour>,C,59095
191-L-684,2019-May-12,,mercedes,AMG-GT,Hatchback,#FFFFFF,D,220294
181-d-4460,13 Mar,DUBLIN,Mazda : Mazda6,,Saloon,WHITE,2,44802
181-D-4626,2018-Mar-23,,ford,FOCUS,Estate,#0000FF,A,33725
191-D-2523,2019-Mar-06,,Audi,A4,Estate,Red,B,43285
191-d-276,15 Jan,DUBLIN,BMW : 3 Series,,Saloon,BLUE,2,48871
192-d-3388,04 Jul,DUBLIN,Ford : Fiesta,,Hatchback,RED,1,20633
191-c-2150,03 Jan,CORK,Toyota : Corolla,,Hatchback,WHITE,2,30441
202-d-4340,18 Jul,DUBLIN,Ford : Mondeo,,Saloon,RED,2,35886
XXX-X-3398,2019-03-07,Waterford,BMW : 3 Series (Saloon),,,white,b,65263
201-C-1107,2020-Jan-02,,audi,A4,Saloon,#FF0000,B,48164
182-D-174,2018-Jul-23,,Opel,Crossland X,SUV,Red,A,22359
191-L-3414,2019-Feb-17,Limerick,bmw,5 series : estate,,<colour>White</colour>,C,73032
182-W-1688,2018-Aug-09,Waterford,ford,kuga : suv,,<colour>Orange</colour>,B,37908
182-D-668,2018-Jul-26,,toyota,RAV4,SUV,#FFFFFF,B,41505
181-C-1820,2018-Mar-03,,Opel,Grandland X,SUV,Blue,B,33197
181-C-4537,2018-Feb-02,Cork,audi,a4 : estate,,<colour>Red</colour>,B,42175
202-L-1974,2020-Sep-14,Limerick,audi,q3 : suv,,<colour>White</colour>,B,51016
182-D-1386,2018-Jul-17,Dublin,audi,a6 : saloon,,<colour>Red</colour>,C,68766
191-D-2547,2019-Jan-09,Dublin,audi,q3 : suv,,<colour>Silver</colour>,B,51907
XXX-X-1090,2020-01-02,Limerick,BMW : 3 Series (Estate),,,blue,b,53102
XXX-X-3540,2019-07-19,Dublin,Opel : Crossland X (SUV),,,white,a,25048
201-c-2219,25 Feb,CORK,BMW : 3 Series,,Estate,WHITE,2,57317
201-g-1246,25 Mar,GALWAY,Audi : A4,,Estate,SILVER,2,51610
191-C-3458,2019-Jan-24,Cork,bmw,3 series : hatchback,,<colour>White</colour>,C,49722
201-D-1824,2020-Jun-27,,Ford,Focus,Estate,Silver,A,31254
191-W-4606,2019-May-20,,Opel,Insignia,Hatchback,Red,B,34696
XXX-X-637,2020-02-03,Cork,Ford : Mondeo (Hatchback),,,blue,b,33420
XXX-X-2399,2019-03-08,Cork,Ford : Mondeo (Saloon),,,red,b,34200
XXX-X-917,2019-07-12,Limerick,Toyota : Corolla (Saloon),,,white,b,28238
181-D-971,2018-Jan-13,,Mercedes,C-Class,Saloon,White,B,43588
202-l-2435,05 Sep,LIMERICK,BMW : 5 Series,,Estate,RED,3,77960
191-C-961,2019-Feb-25,,Mazda,Mazda6,Saloon,White,B,44570
XXX-X-4297,2019-03-16,Dublin,Mazda : Mazda6 (Saloon),,,red,b,34188
201-G-4267,2020-Jan-07,Galway,toyota,camery : saloon,,<colour>Red</colour>,B,39103
201-d-3926,16 Feb,DUBLIN,Ford : Mondeo,,Saloon,WHITE,2,38400
201-D-109,2020-Feb-23,,Audi,A4,Estate,White,B,51775
202-C-823,2020-Aug-02,,BMW,3 Series,Hatchback,White,C,65406
XXX-X-2581,2020-04-01,Dublin,Audi : A4 (Estate),,,blue,b,53552
181-W-4039,2018-Jan-01,,Ford,Focus,Hatchback,Red,A,28417
181-l-4338,01 Apr,LIMERICK,BMW : 2 series,,Coupe,RED,2,80940
XXX-X-989,2018-01-03,Cork,Mercedes : C-Class (Saloon),,,white,b,83931
201-D-4367,2020-Mar-20,,toyota,COROLLA,Saloon,#C0C0C0,B,30290
191-C-2451,2019-Jan-02,Cork,toyota,rav4 : suv,,<colour>Red</colour>,B,42237
201-W-831,2020-Feb-07,,Mercedes,C-Class,Estate,Silver,B,98204
XXX-X-2750,2018-03-05,Cork,Opel : Crossland X (SUV),,,blue,a,27837
201-D-487,2020-Mar-06,,bmw,2 SERIES,Coupe,#0000FF,B,93513
191-D-2300,2019-Jan-12,,Toyota,Camery,Saloon,Red,B,40103
191-d-3726,26 Apr,DUBLIN,Audi : Q3,,SUV,SILVER,2,43164
201-D-2442,2020-Mar-03,Dublin,opel,grandland x : suv,,<colour>Red</colour>,B,33301
181-D-1985,2018-Mar-04,,Mercedes,A-Class,Hatchback,Blue,B,48334
201-w-4971,23 Mar,WATERFORD,Opel : Astra,,Hatchback,RED,1,25916
182-c-1954,22 Jul,CORK,Opel : Astra,,Hatchback,SILVER,1,28718
191-L-3907,2019-Feb-08,Limerick,opel,astra : hatchback,,<colour>Blue</colour>,A,30216
191-G-1705,2019-Mar-03,,BMW,2 series,Coupe,Silver,B,55099
201-d-4990,12 Feb,DUBLIN,BMW : 3 Series,,Saloon,RED,2,49463
181-L-3388,2018-Jan-24,,Audi,A6,Saloon,Blue,C,74929
192-l-3552,06 Jul,LIMERICK,Ford : Focus,,Estate,WHITE,1,31366
